New_ID,Old_ID_Classroom,Floor,Capacity,Room_Type
00-CL-01-MD,1,BASEMENT,40,Classroom
00-CL-02-MD,2,BASEMENT,40,Classroom
00-AU-01-LG,AUDITORIUM,BASEMENT,67,Auditorium
00-LB-01-LG,COMPUTER LAB,BASEMENT,60,Lab (Computer)
01-CL-01-MD,101,FLOOR 1,40,Hybrid Classroom / Lab
01-CL-02-LG,102,FLOOR 1,60,Classroom
01-CL-03-LG,103,FLOOR 1,58,Classroom
01-CL-04-SM,104,FLOOR 1,38,Classroom
02-CL-01-SM,201,FLOOR 2,34,Classroom
02-OF-01-SM,202,FLOOR 2,25,Office
02-OF-02-SM,203,FLOOR 2,25,Office
02-CL-02-SM,204,FLOOR 2,24,Classroom
02-CL-03-SM,205,FLOOR 2,24,Classroom
02-CL-04-SM,206,FLOOR 2,21,Hybrid Classroom
03-CL-02-XS,302,FLOOR 3,18,Classroom
03-CL-03-XS,303,FLOOR 3,18,Classroom
03-CL-04-SM,304,FLOOR 3,23,Classroom
03-CL-05-SM,305,FLOOR 3,22,Classroom
03-CL-06-MD,306,FLOOR 3,48,Classroom
03-CL-07-SM,307,FLOOR 3,24,Classroom
03-CL-08-LG,308,FLOOR 3,60,Classroom
03-CL-09-SM,309,FLOOR 3,23,Classroom
04-MR-01-XS,401,FLOOR 4,20,Meeting Room
04-MR-02-XS,402,FLOOR 4,20,Meeting Room
04-CL-01-SM,403,FLOOR 4,38,Classroom
04-CL-02-SM,404,FLOOR 4,22,Classroom
04-CL-03-SM,405,FLOOR 4,22,Classroom
04-CL-04-MD,406,FLOOR 4,41,Classroom
04-CL-05-MD,407,FLOOR 4,50,Classroom
04-SP-01-SM,GESSEL CAMERA,FLOOR 4,34,Special (Gessel Chamber)
05-CL-01-MD,501,FLOOR 5,37,Classroom
05-CL-02-MD,505,FLOOR 5,43,Classroom
05-CL-03-XS,506,FLOOR 5,20,Classroom
05-CL-04-MD,507,FLOOR 5,40,Classroom
01-LB-01-LG,SL01-LA02 (1A),FLOOR 1,60,Lab
01-LB-02-SM,SL01-LA08 (1B),FLOOR 1,30,Lab
02-LB-01-SM,SL01-LA03 (2A),FLOOR 2,30,Lab
02-LB-02-SM,SL01-LA09 (2B),FLOOR 2,30,Lab
03-LB-01-SM,SL01-LA04 (3A),FLOOR 3,30,Lab
03-LB-02-SM,SL01-LA12 (3B),FLOOR 3,30,Lab
04-LB-01-SM,SL01-LA04 (4A),FLOOR 4,30,Lab
04-LB-02-SM,SL01-LA11 (4B),FLOOR 4,30,Lab
05-LB-01-SM,SL01-LA05 (5A),FLOOR 5,30,Lab
05-LB-02-XS,SL01-LA07 (5B),FLOOR 5,20,Lab
06-LB-01-SM,SL01-LA13 (6A),6TH FLOOR,30,Lab
06-LB-02-SM,SL01-LA14 (6B),6TH FLOOR,30,Lab
07-LB-01-SM,SL01-LA15 (7A),7TH FLOOR,30,Lab
07-LB-02-SM,SL01-LA16 (7B),7TH FLOOR,30,Lab
