c_codaula,c_codcur,c_nomcur
01-LB-01-LG,"['PENF5042', 'SFBQ3071', 'SFBQ3063', 'PFBQ5042', 'SFBQ3042', 'SFBQ3044', 'SENF3061', 'SFBQ3032', 'SENF3064', 'PFBQ5044']","['BIOQUÍMICA', 'ANÁLISIS CLÍNICO I', 'BIOQUÍMICA II', 'BROMATOLOGÍA Y NUTRICIÓN', 'QUÍMICA ANALÍTICA I', 'FARMACOLOGÍA II', 'QUÍMICA INORGÁNICA', 'ENFERMERÍA EN SALUD DEL NIÑO Y DEL ADOLESCENTE I']"
01-LB-02-SM,"['SFBQ3052', 'FYB0801', 'SENF3042', 'SFBQ3083', 'SENF3031', 'SENF3062', 'SENF3033']","['FARMACOTECNIA', 'INDUSTRIA FARMACÉUTICA Y COSMÉTICA', 'BIOQUÍMICA', 'MICROBIOLOGÍA', 'PARASITOLOGÍA', 'METODOLOGÍA DE LA ATENCIÓN EN ENFERMERÍA']"
02-LB-01-SM,"['SENF3072', 'SFBQ3072', 'SENF3043', 'PFBQ5032', 'SENF3054', 'SENF3063', 'PENF5043', 'SENF3061', 'SFBQ3064', 'SFBQ3073']","['ENFERMERÍA EN SALUD DEL NIÑO Y DEL ADOLESCENTE II', 'FARMACOLOGÍA II', 'ENFERMERÍA EN SALUD DEL ADULTO I', 'QUÍMICA INORGÁNICA', 'ENFERMERÍA EN SALUD DEL ADULTO II', 'ENFERMERÍA EN SALUD DE LA MUJER Y NEONATOLOGÍA', 'FARMACOQUÍMICA I', 'FARMACOQUÍMICA II']"
02-LB-02-SM,"['PENF5031', 'SFBQ3052', 'PFBQ5044', 'SFBQ3031', 'PFBQ5031', 'SENF3042', 'PNYD3033', 'SENF3031', 'STML2053']","['MICROBIOLOGÍA', 'FARMACOTECNIA', 'QUÍMICA ANALÍTICA I', 'BIOQUÍMICA', 'BACTERIOLOGÍA']"
03-LB-01-SM,"['SFBQ3072', 'FYB0802', 'PENF5031', 'SENF3061', 'SENF3051', 'STML2032', 'PTML2041']","['FARMACOLOGÍA II', 'TOXICOLOGÍA QUÍMICA Y LEGAL', 'MICROBIOLOGÍA', 'FARMACOLOGÍA I', 'INMUNOLOGÍA', 'INMUNOLOGÍA ESPECIAL']"
03-LB-02-SM,"['SFBQ3053', 'SFBQ3072', 'PFBQ5045', 'PFBQ5031', 'SFBQ3031', 'SFBQ3042', 'SFBQ3044', 'SFBQ3055', 'SFBQ3032', 'SENF3031', 'SENF3051', 'SENF3061', 'STML2031', 'PFBQ5042']","['FISICOQUÍMICA II', 'FARMACOLOGÍA II', 'QUÍMICA ORGÁNICA II', 'MICROBIOLOGÍA', 'BROMATOLOGÍA Y NUTRICIÓN', 'QUÍMICA ANALÍTICA I', 'QUÍMICA ORGÁNICA III', 'QUÍMICA INORGÁNICA', 'FARMACOLOGÍA I']"
04-LB-01-SM,"['PFBQ5045', 'FYB0802', 'SFBQ3043', 'SFBQ3055', 'SFBQ3045', 'SFBQ3033', 'SFBQ3071', 'SFBQ3032', 'STML2033', 'STML2042']","['QUÍMICA ORGÁNICA II', 'TOXICOLOGÍA QUÍMICA Y LEGAL', 'FISICOQUÍMICA I', 'QUÍMICA ORGÁNICA III', 'QUÍMICA ORGÁNICA I', 'ANÁLISIS CLÍNICO I', 'QUÍMICA INORGÁNICA']"
04-LB-02-SM,"['SFBQ3051', 'SFBQ3045', 'PENF5042', 'PFBQ5043', 'SFBQ3071', 'SENF3031', 'SENF3051', 'STML2055', 'STML2052']","['BIOQUÍMICA I', 'QUÍMICA ORGÁNICA II', 'BIOQUÍMICA', 'FISICOQUÍMICA I', 'ANÁLISIS CLÍNICO I', 'MICROBIOLOGÍA', 'FARMACOLOGÍA I', 'BIOQUÍMICA II', 'HEMATOLOGÍA I']"
05-LB-01-SM,"['SFBQ3053', 'SENF3072', 'SENF3043', 'PENF5043', 'SENF3064', 'SENF3054', 'SENF3071', 'ENF0801', 'SENF3063']","['FISICOQUÍMICA II', 'ENFERMERÍA EN SALUD DEL NIÑO Y DEL ADOLESCENTE II', 'ENFERMERÍA EN SALUD DEL ADULTO I', 'ENFERMERÍA EN SALUD DEL NIÑO Y DEL ADOLESCENTE I', 'ENFERMERÍA EN SALUD DEL ADULTO II', 'ENFERMERÍA EN SALUD MENTAL Y PSIQUIATRÍA', 'ENFERMERÍA DEL CUIDADO DEL ADULTO MAYOR', 'ENFERMERÍA EN SALUD DE LA MUJER Y NEONATOLOGÍA']"
05-LB-02-XS,"['SFBQ3054', 'SENF3062']","['QUÍMICA ANALÍTICA II', 'PARASITOLOGÍA']"
